github.com/AlDanial/cloc v 2.02  T=2.35 s (137.3 files/s, 16757.6 lines/s)
---------------------------------------------------------------------------------------------------------------------
File                                                                            blank %      comment %           code
.\.msvc2019\umba-md-pp-view-console.vcxproj                                        0.00           4.08             47
.\_src\umba-md-pp\_enums\SnippetOptions.txt                                       26.98           0.00             46
.\_src\umba-md-pp\_tmp.cpp                                                        22.54          12.68             46
.\.msvc2019\umba-md-pp.vcxproj                                                     0.00           6.25             45
.\doc\img.generated\doc.drafts\graphviz\trie_brackets.svg                          0.00           8.16             45
.\doc.drafts\_sources_brief.txt                                                    4.35           0.00             44
.\.msvc2019\gen-lang-detection-tr.vcxproj                                          0.00           4.55             42
.\doc.drafts\plantuml\07-JCCKit-01.puml                                            6.82           0.00             41
.\doc.drafts\plantuml\10-JCCKit-04.puml                                            0.00           0.00             41
.\_src\umba-md-pp\code-processing\simple-processing.h                             26.92          21.79             40
.\doc.drafts\boost.txt                                                            27.27           0.00             40
.\doc.drafts\plantuml\11-JCCKit-05.puml                                            0.00           0.00             40
.\doc\img.generated\doc.drafts\graphviz\test004.svg                                0.00          14.89             40
.\.msvc\umba_3dp_qtdir.props                                                      21.57           3.92             38
.\doc.drafts\plantuml\08-JCCKit-02.puml                                            0.00           0.00             37
.\doc.drafts\rtf-smp\ud-inc\unidoc\html\forms.css                                 15.91           0.00             37
.\_src\umba-md-pp\code-processing\_enums\_generate_all.bat                        25.00           0.00             33
.\_src\umba-md-pp\processing_includes.h                                           20.75          16.98             33
.\doc\_md\_found-attentions.md                                                    35.29           0.00             33
.\_src\umba-md-pp\tr\en-US.json                                                    0.00           0.00             31
.\_src\umba-md-pp\tr\ru-RU.json                                                    0.00           0.00             31
.\doc\img.generated\doc.drafts\graphviz\test003.svg                                0.00          20.51             31
.\.msvc\umba_3dp_llvm.props                                                       22.22          13.33             29
.\_src\umba-md-pp\_enums\ProcessingOptions.txt                                     3.33           0.00             29
.\doc.drafts\boost\make_boost_impl.bat                                            27.50           0.00             29
.\.msvc\umba_project_configurations.props                                         24.32           0.00             28
.\doc.drafts\plantuml\28-bnf-17.puml                                               0.00           0.00             28
.\.msvc\umba_config_matrix_qt.props                                               18.18           0.00             27
